,Age,Gender,Interested_in,Current_status,Usually,Confidence,Bars,Social_network,Dating apps,Through_a_friend,Street,experience,frequently_use,paid,swipes_are,look_for_Short_term,look_for_Long_term,Tinder,Bumble,OkCupid,Grinder,Hinge,Atraf,Badoo,num_apps,use_for_Long_term,use_for_Short_term,use_for_Friends,affraid_bad_people,not_seen_there,too_much_not_myType,cannot_find_somebody_I_like
Age,1.0,0.1038330461956146,-0.05784157336398298,-0.037362459540929156,-0.02578271619090239,-0.005025693094744107,-0.021838057772025517,0.0065767415252479065,0.050087579325308135,0.03449747649568617,0.06202639937152877,0.12745498373558622,0.1779350581665937,0.10826909599480714,-0.057971083475964774,-0.016815835063723448,0.059283735291593344,0.15881441046919204,0.18319912976658007,0.1944545279661821,-0.005437755587847455,0.05057112696698165,0.03731654813578726,0.03731654813578742,0.2091067276851756,0.08543263459202498,0.1787966808835755,0.016393989946977265,-0.06886440850367724,-0.12316602092361516,0.028911628830293905,0.08250150361011228
Gender,0.1038330461956146,1.0,-0.7309255464874981,0.0408501660313783,0.08543496249073934,-0.08193660201757297,-0.06242791920196842,0.009910601174537922,0.11323056819633687,-0.08052448932663109,-0.048081045874494424,0.3018036758673243,0.2973550608666676,0.3762978891640212,0.12064130586935248,0.20652430733560118,-0.043681689169041,0.3146115815474816,0.18613141582815582,0.23431813814846514,0.18587686436756287,0.11461637914476212,0.09158678645745845,0.09158678645745869,0.33789577002291765,0.3008135529566242,0.13253095512050633,0.004666900017501463,-0.21002899641210201,-0.12694201424673535,0.057544485897586324,0.16624926557311215
Interested_in,-0.05784157336398298,-0.7309255464874981,1.0,0.02174502610394619,-0.03094393529848683,0.012881680478183251,0.0034526414755097707,0.005325064201485581,0.015682677496946285,0.012793665759920934,-0.017973948355468068,-0.13491342740617923,-0.11744776778601992,-0.24680870422191614,-0.09598372702074358,-0.17882888905641675,0.04941656025214722,-0.1826524475859625,-0.18795468181306169,-0.12999220143973045,0.13735847778899496,-0.003617269521845591,0.1697172826232416,-0.09777897001935697,-0.15000915595968198,-0.17523116710000908,-0.024159981885679173,0.0953272913625711,0.1703832747755063,0.07811690972310885,-0.030964635597358122,-0.11844505107658315
Current_status,-0.037362459540929156,0.0408501660313783,0.02174502610394619,1.0,0.5519147667174792,-0.14875331102976175,-0.0227512094379189,-0.05384488891199621,-0.05941890613863388,-0.01969949593469972,-0.03271598332146941,0.02981649592872723,0.06971407131935592,0.09821364044422744,-0.19023525443052466,0.24372061783504975,0.24271651632814709,0.08495216141542575,0.11058258195744275,0.18339845790995868,0.037718674222175834,0.14836807613343186,0.062306481066713465,0.06230648106671417,0.18128731595114586,0.06526283531346132,0.034521652216114286,-0.03958466764180011,0.0568040866959687,-0.016748807292249663,0.06449482305801722,0.2643911884670524
Usually,-0.02578271619090239,0.08543496249073934,-0.03094393529848683,0.5519147667174792,1.0,-0.11233707230122127,-0.015062776997467064,-0.047529361269751366,0.04021051622965172,-0.06318883000321633,-0.012590516755032982,0.13259768882358464,0.16127843168372838,0.10026733767309098,-0.13157169592333293,0.1949022253436816,0.22813703850678893,0.21203883507087992,0.23909729307850372,0.23767847051771274,0.04659118945977002,0.07107533494117951,0.05967341160774055,0.0921938422722765,0.28442567773636174,0.18529692193095193,0.18019518898283976,-0.01305694240995113,0.030456687244888297,-0.08035079404151026,0.06173050741857177,0.22614649003973786
Confidence,-0.005025693094744107,-0.08193660201757297,0.012881680478183251,-0.14875331102976175,-0.11233707230122127,1.0,0.12686334282674328,0.1391383984028853,0.08041447389189212,-0.020909520901918277,0.13288543183149124,0.054246105942070334,0.08084201937676659,0.10621440072682949,0.1439347307758967,0.022863928783882832,-0.11780684672015485,0.0018777264528244638,0.052983394499160896,-0.07370991879494361,-0.103517065958072,0.010517776755098261,-0.07848913955829102,0.016175747730982678,-0.03183480325668046,0.074744307684031,-0.050002557686770616,0.03069211118831244,-0.03744836450959769,-0.03709971249532199,-0.0028992089806838483,-0.12542808659431162
Bars,-0.021838057772025517,-0.06242791920196842,0.0034526414755097707,-0.0227512094379189,-0.015062776997467064,0.12686334282674328,1.0,0.23371589998033987,0.04639581051893683,0.24276613276934153,0.24737838184916017,0.10785440482375382,0.06148422455176607,-0.006454590343443615,0.05942628539689906,-0.008437999554328342,-0.0734676313321328,0.050627660438213665,0.011930463502761824,0.031530511095626955,-0.07843630953210956,-0.05880340580961255,0.014557489775959765,0.06671127923418081,0.023110544298754872,0.1044565868117068,-0.0019064320026473504,0.008226322352832742,-0.11145510403735863,0.0102361946593083,0.004447824327710018,-0.008413689239037177
Social_network,0.0065767415252479065,0.009910601174537922,0.005325064201485581,-0.05384488891199621,-0.047529361269751366,0.1391383984028853,0.23371589998033987,1.0,0.33243236561521783,-0.04457076751255099,0.031755667308238165,0.15214092810817095,0.09570184926250469,0.10945467749027439,0.045339666418406976,0.01442818814360018,-0.07048614645336637,0.08143650166018178,-0.036879452139196085,0.03483850954944005,0.026850737904404714,-0.02298036126953576,0.05070042295856575,-0.015486440979739597,0.03714742594439216,0.10457846334916203,-0.011713916947341928,0.041499404015910644,-0.04698061685189021,0.09778462666086667,-0.005810180136343874,0.012641383636830025
Dating apps,0.050087579325308135,0.11323056819633687,0.015682677496946285,-0.05941890613863388,0.04021051622965172,0.08041447389189212,0.04639581051893683,0.33243236561521783,1.0,-0.11240700707770278,-0.00834604292139831,0.46253375992026674,0.3997829989487318,0.161573335375834,0.03433776317029187,0.032133549181455404,-0.03523040899150577,0.31364097286249776,0.18862983593898086,0.28682322747458067,0.13804866804881477,0.12006698887204827,0.06869461851597461,0.03286907063169429,0.34165580473618357,0.286595475401302,0.30532958339542116,0.003947473876555575,-0.049939459139697995,-0.07638206899457306,0.0013669661723812207,0.11758512475771839
Through_a_friend,0.03449747649568617,-0.08052448932663109,0.012793665759920934,-0.01969949593469972,-0.06318883000321633,-0.020909520901918277,0.24276613276934153,-0.04457076751255099,-0.11240700707770278,1.0,0.18813659228257848,0.009439340320763118,-0.02058546822372106,-0.11316308270114253,0.02747104290238141,0.03953652828149361,-0.016678532112555617,-0.0013343765202073277,-0.035184801071090295,0.06728470955694395,-0.06318726462109679,-0.07331689614790281,0.022141011760196616,-0.03167666874246475,-0.009318959349303184,-0.03411956072835377,-0.05522655625400203,0.001198175845115061,-0.02600394899841677,-0.050407391531555865,-0.00319240921940531,-0.020963601207710885
Street,0.06202639937152877,-0.048081045874494424,-0.017973948355468068,-0.03271598332146941,-0.012590516755032982,0.13288543183149124,0.24737838184916017,0.031755667308238165,-0.00834604292139831,0.18813659228257848,1.0,0.028536299775839612,-0.02934896699386118,-0.050616897491113054,-0.013240180766055896,0.0033746731866361075,-0.0413294717084643,-0.04614669450527754,-0.028218234839103407,-0.04109774543841556,-0.13485149777245029,-0.04368179465093798,-0.06048811237826391,-0.012050595760490024,-0.07900289262451539,-0.03996731721394002,-0.0019734669782608223,0.04377548424410469,-0.04941400469997406,-0.050274892387619514,-0.07003235430484936,-0.15587095508476742
experience,0.12745498373558622,0.3018036758673243,-0.13491342740617923,0.02981649592872723,0.13259768882358464,0.054246105942070334,0.10785440482375382,0.15214092810817095,0.46253375992026674,0.009439340320763118,0.028536299775839612,1.0,0.7416426883872566,0.41154242341383984,0.20190266809534962,0.17202358027027817,0.06510900728634837,0.57239360486176,0.3615138030517213,0.49101929134074745,0.16053553349045405,0.17962557768847165,0.11188579025579644,0.11188579025579691,0.600867378460277,0.5503869594971958,0.44696493090169886,0.18575982003100308,-0.10028963159089084,-0.1596117441522034,0.12715028950960194,0.23881256010594376
frequently_use,0.1779350581665937,0.2973550608666676,-0.11744776778601992,0.06971407131935592,0.16127843168372838,0.08084201937676659,0.06148422455176607,0.09570184926250469,0.3997829989487318,-0.02058546822372106,-0.02934896699386118,0.7416426883872566,1.0,0.4355063854644917,0.10735203641482133,0.1429878155059201,0.1071692174776121,0.5808327199491334,0.4613930127527365,0.4966750594338402,0.23737920545315444,0.23737920545315375,0.18214458229747232,0.18999925760693034,0.6773883865810317,0.5095066874812199,0.4405021423312597,0.1329156604065989,-0.04474796152484883,-0.19358679220135924,0.14556703756436215,0.2859179650166678
paid,0.10826909599480714,0.3762978891640212,-0.24680870422191614,0.09821364044422744,0.10026733767309098,0.10621440072682949,-0.006454590343443615,0.10945467749027439,0.161573335375834,-0.11316308270114253,-0.050616897491113054,0.41154242341383984,0.4355063854644917,1.0,0.11773464743017731,0.11021646325137667,0.0447905876172088,0.2997752021674432,0.3126306858943534,0.2727084056236767,0.12384817245834052,0.21251098228081972,0.10447274182043581,0.1339137607192162,0.3997604404682357,0.30765534453370064,0.07672326111312715,0.09851947590162782,-0.09937880486753706,-0.02716766868992519,0.03751714514902109,0.1289302834009021
swipes_are,-0.057971083475964774,0.12064130586935248,-0.09598372702074358,-0.19023525443052466,-0.13157169592333293,0.1439347307758967,0.05942628539689906,0.045339666418406976,0.03433776317029187,0.02747104290238141,-0.013240180766055896,0.20190266809534962,0.10735203641482133,0.11773464743017731,1.0,0.132887535710756,-0.07866371502080464,0.09275699663544354,0.021568690078674083,-0.004996575225132213,-0.06455695856603472,-0.04055202451440467,-0.008667476258551958,0.023216454263978427,0.025831827960432437,0.16093428200545776,0.020881635866731044,0.1282063801571232,-0.017178480006994852,0.04208902702992505,-0.00048340493951290963,-0.05138492837984629
look_for_Short_term,-0.016815835063723448,0.20652430733560118,-0.17882888905641675,0.24372061783504975,0.1949022253436816,0.022863928783882832,-0.008437999554328342,0.01442818814360018,0.032133549181455404,0.03953652828149361,0.0033746731866361075,0.17202358027027817,0.1429878155059201,0.11021646325137667,0.132887535710756,1.0,0.0418355001792793,0.26425758903468477,0.11172368961738152,0.10043986529409334,-0.015769252072271887,0.05805951899336363,-0.08790594882155515,0.10821634854927975,0.1842473901640571,0.36671750792068775,-0.0024892581314192226,0.041443704768626494,-0.05117881537607738,-0.020384634314018397,0.0705707837246888,0.092957155890853
look_for_Long_term,0.059283735291593344,-0.043681689169041,0.04941656025214722,0.24271651632814709,0.22813703850678893,-0.11780684672015485,-0.0734676313321328,-0.07048614645336637,-0.03523040899150577,-0.016678532112555617,-0.0413294717084643,0.06510900728634837,0.1071692174776121,0.0447905876172088,-0.07866371502080464,0.0418355001792793,1.0,0.11006702915986943,0.11708190702255887,0.1355121592600671,0.0630431620851626,0.06304316208516239,0.02763682126527709,0.02763682126527733,0.15737086964870098,0.07195807019187986,0.20526168943223336,0.06489848938562542,0.04516733362865086,-0.030799734401329066,0.0029631086290329268,0.16739184742695892
Tinder,0.15881441046919204,0.3146115815474816,-0.1826524475859625,0.08495216141542575,0.21203883507087992,0.0018777264528244638,0.050627660438213665,0.08143650166018178,0.31364097286249776,-0.0013343765202073277,-0.04614669450527754,0.57239360486176,0.5808327199491334,0.2997752021674432,0.09275699663544354,0.26425758903468477,0.11006702915986943,1.0,0.4772356547872363,0.43614835047004474,0.14238612271293133,0.21404298251471682,0.11211714067978279,0.17556804996559486,0.7918705002197827,0.6456594777652083,0.3868544962571676,0.11722569915671138,-0.10863867115174816,-0.2030719704870141,0.21433459089527454,0.3467960320280745
Bumble,0.18319912976658007,0.18613141582815582,-0.18795468181306169,0.11058258195744275,0.23909729307850372,0.052983394499160896,0.011930463502761824,-0.036879452139196085,0.18862983593898086,-0.035184801071090295,-0.028218234839103407,0.3615138030517213,0.4613930127527365,0.3126306858943534,0.021568690078674083,0.11172368961738152,0.11708190702255887,0.4772356547872363,1.0,0.475233385216248,-0.003021974714813509,0.22335140392211336,-0.010581993145775558,0.10217096830404024,0.7305446408557302,0.35525703149860965,0.284503294641973,-0.0037441582986255527,-0.10546176496385166,-0.15300606583728232,0.09373716935020515,0.266784121116211
OkCupid,0.1944545279661821,0.23431813814846514,-0.12999220143973045,0.18339845790995868,0.23767847051771274,-0.07370991879494361,0.031530511095626955,0.03483850954944005,0.28682322747458067,0.06728470955694395,-0.04109774543841556,0.49101929134074745,0.4966750594338402,0.2727084056236767,-0.004996575225132213,0.10043986529409334,0.1355121592600671,0.43614835047004474,0.475233385216248,1.0,0.07563466873855478,0.14889834472668487,0.07022737348657988,0.13510109069839935,0.755908758459922,0.2985983832831741,0.4614342984554675,0.013023388255400408,-0.030378418661108852,-0.18955334888659772,0.11571774037406553,0.3648804545531646
Grinder,-0.005437755587847455,0.18587686436756287,0.13735847778899496,0.037718674222175834,0.04659118945977002,-0.103517065958072,-0.07843630953210956,0.026850737904404714,0.13804866804881477,-0.06318726462109679,-0.13485149777245029,0.16053553349045405,0.23737920545315444,0.12384817245834052,-0.06455695856603472,-0.015769252072271887,0.0630431620851626,0.14238612271293133,-0.003021974714813509,0.07563466873855478,1.0,0.07050197405527456,0.5835795422142149,0.04345008144855476,0.3252016548149129,0.13914760542619017,0.11493780245507922,0.039365891394523164,0.05943004248643345,-0.10136987243290294,0.15734804092191482,0.1416197325648855
Hinge,0.05057112696698165,0.11461637914476212,-0.003617269521845591,0.14836807613343186,0.07107533494117951,0.010517776755098261,-0.05880340580961255,-0.02298036126953576,0.12006698887204827,-0.07331689614790281,-0.04368179465093798,0.17962557768847165,0.23737920545315375,0.21251098228081972,-0.04055202451440467,0.05805951899336363,0.06304316208516239,0.21404298251471682,0.22335140392211336,0.14889834472668487,0.07050197405527456,1.0,-0.03371127008939619,0.043450081448554646,0.380157799927195,0.2117770143395227,0.06651819651285819,0.0873503507274919,-0.055523842510799,-0.025892063802139372,0.012751625621181144,0.1931633101415037
Atraf,0.03731654813578726,0.09158678645745845,0.1697172826232416,0.062306481066713465,0.05967341160774055,-0.07848913955829102,0.014557489775959765,0.05070042295856575,0.06869461851597461,0.022141011760196616,-0.06048811237826391,0.11188579025579644,0.18214458229747232,0.10447274182043581,-0.008667476258551958,-0.08790594882155515,0.02763682126527709,0.11211714067978279,-0.010581993145775558,0.07022737348657988,0.5835795422142149,-0.03371127008939619,1.0,-0.024875621890547185,0.2683536152695759,0.09553154328256401,0.06337550093581854,0.08570072409719423,0.06930098074170894,-0.07851407277022601,0.09121126813564288,0.1349288159362729
Badoo,0.03731654813578742,0.09158678645745869,-0.09777897001935697,0.06230648106671417,0.0921938422722765,0.016175747730982678,0.06671127923418081,-0.015486440979739597,0.03286907063169429,-0.03167666874246475,-0.012050595760490024,0.11188579025579691,0.18999925760693034,0.1339137607192162,0.023216454263978427,0.10821634854927975,0.02763682126527733,0.17556804996559486,0.10217096830404024,0.13510109069839935,0.04345008144855476,0.043450081448554646,-0.024875621890547185,1.0,0.2805192941308297,0.0955315432825649,0.09553154328256407,-0.041767500913794775,-0.08338353297799427,-0.011679779420364371,-0.004816949424540071,0.13492881593627318
num_apps,0.2091067276851756,0.33789577002291765,-0.15000915595968198,0.18128731595114586,0.28442567773636174,-0.03183480325668046,0.023110544298754872,0.03714742594439216,0.34165580473618357,-0.009318959349303184,-0.07900289262451539,0.600867378460277,0.6773883865810317,0.3997604404682357,0.025831827960432437,0.1842473901640571,0.15737086964870098,0.7918705002197827,0.7305446408557302,0.755908758459922,0.3252016548149129,0.380157799927195,0.2683536152695759,0.2805192941308297,1.0,0.5525827490213621,0.46097356415241747,0.07381862729002854,-0.08824576820387726,-0.22926259716575925,0.19300711043444432,0.44100835467108
use_for_Long_term,0.08543263459202498,0.3008135529566242,-0.17523116710000908,0.06526283531346132,0.18529692193095193,0.074744307684031,0.1044565868117068,0.10457846334916203,0.286595475401302,-0.03411956072835377,-0.03996731721394002,0.5503869594971958,0.5095066874812199,0.30765534453370064,0.16093428200545776,0.36671750792068775,0.07195807019187986,0.6456594777652083,0.35525703149860965,0.2985983832831741,0.13914760542619017,0.2117770143395227,0.09553154328256401,0.0955315432825649,0.5525827490213621,1.0,0.24331472230385032,0.06241760840145567,-0.19476190533956445,-0.15309866559097388,0.2018863945441785,0.26026435085812444
use_for_Short_term,0.1787966808835755,0.13253095512050633,-0.024159981885679173,0.034521652216114286,0.18019518898283976,-0.050002557686770616,-0.0019064320026473504,-0.011713916947341928,0.30532958339542116,-0.05522655625400203,-0.0019734669782608223,0.44696493090169886,0.4405021423312597,0.07672326111312715,0.020881635866731044,-0.0024892581314192226,0.20526168943223336,0.3868544962571676,0.284503294641973,0.4614342984554675,0.11493780245507922,0.06651819651285819,0.06337550093581854,0.09553154328256407,0.46097356415241747,0.24331472230385032,1.0,0.1224084046566652,0.02081336182434721,-0.14261385006180455,0.20188639454417867,0.30322465236194895
use_for_Friends,0.016393989946977265,0.004666900017501463,0.0953272913625711,-0.03958466764180011,-0.01305694240995113,0.03069211118831244,0.008226322352832742,0.041499404015910644,0.003947473876555575,0.001198175845115061,0.04377548424410469,0.18575982003100308,0.1329156604065989,0.09851947590162782,0.1282063801571232,0.041443704768626494,0.06489848938562542,0.11722569915671138,-0.0037441582986255527,0.013023388255400408,0.039365891394523164,0.0873503507274919,0.08570072409719423,-0.041767500913794775,0.07381862729002854,0.06241760840145567,0.1224084046566652,1.0,0.04989493424466477,-0.0009079155066687029,0.09542194764576806,0.058384546007543094
